loc,weekdays (1 base),weekdays,alt loc
lon32_6514lat-26_4746,,,
lon33_8171lat-19_8218,,,
lon33_8727lat-19_2832,,,
lon33_9351lat-20_3856,,,
lon34_0694lat-18_6893,,,
lon34_1024lat-18_9849,,,
lon34_2534lat-24_8504,,,
lon34_5343lat-18_1846,,,
lon35_3164lat-17_0777,,,
lon35_3194lat-17_1441,5,4,
lon35_3235lat-17_0666,,,
lon35_5762lat-16_2547,,,
lon35_6579lat-17_3071,2,1,lon35_7094lat-17_3244
lon35_7558lat-17_2835,6,5,
lon35_9529lat-17_1624,,,
lon36_2631lat-17_522,,,
lon36_4514lat-17_5407,,,
lon36_7464lat-16_4287,,,
lon36_8544lat-16_3513,3,2,lon36_8544lat-16_3523
lon36_9567lat-16_9687,,,
lon36_961lat-16_771,,,
lon36_9731lat-17_0102,,,
lon37_0227lat-17_2276,,,
lon37_0568lat-17_4013,,,
lon37_2009lat-17_2457,7,6,
lon37_2538lat-17_4181,5,4,
lon37_2879lat-17_4399,7,6,
lon37_3683lat-17_5623,6,5,
lon37_3952lat-17_5011,,,
lon37_4643lat-17_56,7,6,
lon37_4894lat-17_0106,5,4,
lon37_5985lat-16_7716,7,6,
lon37_6056lat-17_5114,,,
lon37_6141lat-17_5126,,,
lon37_6716lat-17_4835,4,3,
lon37_769lat-17_1516,3,2,
lon37_8955lat-17_2575,6,5,
lon37_9798lat-17_1055,3,2,
lon38_0526lat-16_9714,3,1,
lon38_3048lat-16_8889,2,1,lon38_2935lat-16_8922
lon38_3135lat-16_8849,,,
lon38_4068lat-16_9375,4,3,
lon38_5144lat-17_0553,6 7,5 6,
lon38_6128lat-16_8856,5,4,
lon38_655lat-16_8118,,,
lon38_737lat-16_9197,,,
lon38_9515lat-16_4944,,,
lon39_047lat-15_2678,,,
lon39_0649lat-15_1562,1 5,0 4,
lon39_1221lat-15_0092,2,1,
lon39_2759lat-15_1246,3,2,
lon39_5092lat-14_0702,,,
lon39_5196lat-14_0691,5,4,
lon39_5276lat-14_0682,,,
lon39_691lat-13_8198,1,0,
lon39_7514lat-13_7413,,,
lon39_8486lat-15_5887,,,
lon39_8957lat-14_6214,7,6,
lon39_9578lat-14_7479,,,
lon40_0718lat-13_9583,7,6,
lon40_0869lat-13_8047,,,
lon40_1299lat-14_716,7,6,
lon40_1338lat-14_9,1,0,
lon40_1529lat-14_9584,6,5,
lon40_1779lat-15_3413,7,6,
lon40_1822lat-15_1008,1,0,
lon40_2405lat-15_1293,3,2,
lon40_2439lat-14_7114,1,0,
lon40_2612lat-14_8462,,,
lon40_2885lat-14_1865,,,
lon40_2896lat-13_795,,,
lon40_2967lat-14_8654,,,
lon40_2967lat-15_2539,4,3,
lon40_2995lat-14_9159,,,
lon40_3033lat-13_8105,7,6,
lon40_3057lat-13_8239,,,
lon40_313lat-15_0527,7,6,
lon40_3174lat-14_2102,,,
lon40_3317lat-15_665,7,6,
lon40_3491lat-14_0198,,,
lon40_3501lat-14_0035,,,
lon40_3553lat-15_1824,5,4,
lon40_3594lat-14_8009,7,6,
lon40_3848lat-14_9166,,,
lon40_4133lat-13_6573,6,5,
lon40_4157lat-14_4235,1,0,
lon40_4229lat-14_9338,,,
lon40_4299lat-13_957,7,6,
lon40_4315lat-14_3459,7,6,
lon40_4403lat-15_3881,2 3,1 2,
lon40_4542lat-14_067,7,6,
lon40_467lat-15_2152,1,0,
lon40_5003lat-14_8228,,,
lon40_5215lat-14_3051,5,4,
lon40_5858lat-13_9452,4,3,
lon40_6227lat-14_3213,,,
lon40_6945lat-14_8443,3,2,
lon40_7055lat-14_2118,1,0,
lon40_726lat-14_7771,,,